house	legislative-period	session-number	date of vote	dossier nummer	onder nummer	type	outcome	stemmings type	bron amendement op OB	link amendement HTML op PM	link stemming XML op PM	link stemming in context HTML op PM	bron stemming op OB	nl.p.cda	nl.p.cu	nl.p.d66	nl.p.gl	nl.p.groepeerdmansvanschijndel	nl.p.groeplazrak	nl.p.groepnawijn	nl.p.groepvanoudenallen	nl.p.groepwilders	nl.p.lpf	nl.p.osf	nl.p.pvda	nl.p.sgp	nl.p.sp	nl.p.vvd	indiener 1, naam volgens stemming	indiener 1, id volgens stemming	indiener 2, naam volgens stemming	indiener 2, id volgens stemming	titel document volgens stemming
commons	2005-2006	35	2005-12-15	30300		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/30300		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2434.1.8.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2434?view=html#nl.proc.ob.d.h-tk-20052006-2434-2434.1.8.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2434-2434.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye					Vaststelling van de begrotingsstaat van het Diergezondheidsfonds voor het jaar 2006 ( 30300 F)
commons	2005-2006	35	2005-12-15	29875		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/29875		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2434-2.1.7.3.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2434-2?view=html#nl.proc.ob.d.h-tk-20052006-2434-2434-2.1.7.3.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2434-2434-2.html	aye	aye	aye	no		no	aye		aye	aye		no	aye	no	aye					wetsvoorstel Wijziging van onder meer de Wet op het primair onderwijs, de Wet op de expertisecentra, en de Wet op het voortgezet onderwijs in verband met de vraagfinanciering voor schoolbegeleiding en de bekostiging van het onderwijs aan zieke leerlingen ( 29875)
commons	2005-2006	35	2005-12-15	30300		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/30300		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2434-1.1.8.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2434-1?view=html#nl.proc.ob.d.h-tk-20052006-2434-2434-1.1.8.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2434-2434-1.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye					Vaststelling van de begrotingsstaat van het BTW-compensatiefonds voor het jaar 2006 ( 30300 G)
commons	2005-2006	35	2005-12-15	30300		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/30300		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433.1.35.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433?view=html#nl.proc.ob.d.h-tk-20052006-2433-2433.1.35.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2433-2433.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye					Vaststelling van de begrotingsstaat van het Fonds economische structuurversterking voor het jaar 2006 ( 30300 D)
commons	2005-2006	35	2005-12-15	30300 D	11	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 D-11.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433.1.23.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433?view=html#nl.proc.ob.d.h-tk-20052006-2433-2433.1.23.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2433-2433.html	no	aye	no	aye		aye	no		no	no		aye	aye	aye	no	Slob	nl.m.01639			amendement-Slob (stuk nr. 11, I)
commons	2005-2006	35	2005-12-15	30300 D	5	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 D-5.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433.1.20.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433?view=html#nl.proc.ob.d.h-tk-20052006-2433-2433.1.20.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2433-2433.html	no	aye	no	aye		aye	no		no	no		aye	no	aye	no	Crone	nl.m.02507			amendement-Crone (stuk nr. 5, I)
commons	2005-2006	35	2005-12-15	30300 D	4	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 D-4.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433.1.17.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433?view=html#nl.proc.ob.d.h-tk-20052006-2433-2433.1.17.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2433-2433.html	no	no	no	aye		aye	no		no	no		aye	no	aye	no	Crone	nl.m.02507	Depla	nl.m.02292	amendement-Crone/Depla (stuk nr. 4, I)
commons	2005-2006	35	2005-12-15	30300 D	8	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 D-8.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433.1.13.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433?view=html#nl.proc.ob.d.h-tk-20052006-2433-2433.1.13.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2433-2433.html	no	no	no	aye		aye	no		no	no		aye	no	aye	no	Crone	nl.m.02507			amendement-Crone (stuk nr. 8, I)
commons	2005-2006	35	2005-12-15	30300 D	9	amendement	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 D-9.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433.1.9.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433?view=html#nl.proc.ob.d.h-tk-20052006-2433-2433.1.9.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2433-2433.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Snijder-Hazelhoff	nl.m.02289			amendement-Snijder-Hazelhoff (stuk nr. 9, I)
commons	2005-2006	35	2005-12-15	30300 A	43	amendement	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 A-43.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2431-2432.1.28.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2431-2432?view=html#nl.proc.ob.d.h-tk-20052006-2431-2432.1.28.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2431-2432.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Gerkens	nl.m.02326			amendement-Gerkens c.s. (stuk nr. 43, I)
