#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.50plus;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.fractieyildirim;nl.p.gl;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2010-2011;98;2011-06-28;32696;7;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32696-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-21.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-21?view=html#nl.proc.ob.d.h-tk-20102011-98-21.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-21.html;;no;no;no;;no;;no;aye;no;no;aye;no;Ulenbelt;nl.m.03096;;;de motie-Ulenbelt over aanbieden van excuus ( 32696, nr. 7).
commons;2010-2011;98;2011-06-28;32022;68;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32022-68.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-9.1.72.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-9?view=html#nl.proc.ob.d.h-tk-20102011-98-9.1.72.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-9.html;;no;aye;no;;aye;;aye;no;no;aye;aye;no;Kooiman;nl.m.03231;;;de motie-Kooiman c.s. over een bijdrage van de alcoholbranche ( 32022, nr. 68) 
commons;2010-2011;98;2011-06-28;32022;71;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32022-71.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-9.1.75.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-9?view=html#nl.proc.ob.d.h-tk-20102011-98-9.1.75.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-9.html;;no;aye;aye;;aye;;no;aye;no;aye;aye;no;Van der Staaij;nl.m.02252;;;de motie-Van der Staaij c.s. over een definitie van alcoholreclame ( 32022, nr. 71) 
commons;2010-2011;98;2011-06-28;32022;72;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32022-72.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-9.1.78.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-9?view=html#nl.proc.ob.d.h-tk-20102011-98-9.1.78.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-9.html;;no;aye;aye;;aye;;aye;aye;no;aye;aye;no;Van der Staaij;nl.m.02252;Voordewind;nl.m.03070;de motie-Van der Staaij/Voordewind over het alcoholreclamebeleid ( 32022, nr. 72) 
commons;2010-2011;98;2011-06-28;32022;75;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32022-75.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-9.1.84.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-9?view=html#nl.proc.ob.d.h-tk-20102011-98-9.1.84.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-9.html;;no;aye;aye;;aye;;aye;aye;no;no;aye;no;Dijkstra;nl.m.03188;;;de motie-Dijkstra over besteding van de extra 150 mln. ( 32022, nr. 75).
commons;2010-2011;98;2011-06-28;32022;82;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-32022-82.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-9.1.81.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-9?view=html#nl.proc.ob.d.h-tk-20102011-98-9.1.81.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-9.html;;aye;aye;aye;;aye;;aye;aye;aye;aye;aye;aye;Straus;nl.m.03256;;;motie-Straus ( 32022, nr. 82)
commons;2010-2011;98;2011-06-28;23645;468;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23645-468.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35?view=html#nl.proc.ob.d.h-tk-20102011-98-35.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-35.html;;no;aye;aye;;aye;;aye;aye;no;no;aye;no;Monasch;nl.m.03246;Verhoeven;nl.m.03192;de motie-Monasch/Verhoeven over de markteffectentoets ( 23645, nr. 468) 
commons;2010-2011;98;2011-06-28;23645;469;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23645-469.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35?view=html#nl.proc.ob.d.h-tk-20102011-98-35.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-35.html;;no;aye;aye;;aye;;aye;aye;no;no;aye;no;Monasch;nl.m.03246;;;de motie-Monasch c.s. over de verwachte toename van reizigers ( 23645, nr. 469) 
commons;2010-2011;98;2011-06-28;23645;470;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23645-470.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35.1.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35?view=html#nl.proc.ob.d.h-tk-20102011-98-35.1.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-35.html;;no;aye;aye;;aye;;aye;aye;no;no;aye;no;Monasch;nl.m.03246;;;de motie-Monasch c.s. over tariefstijging in de G3 ( 23645, nr. 470) 
commons;2010-2011;98;2011-06-28;29817;72;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29817-72.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-34.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-34?view=html#nl.proc.ob.d.h-tk-20102011-98-34.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-34.html;;no;aye;aye;;aye;;aye;aye;no;no;aye;no;Klaver;nl.m.03226;;;de motie-Klaver over een nieuwe Wet werken naar vermogen ( 29817, nr. 72).
