#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groeplazrak;nl.p.groepwilders;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2003-2004;4;2003-09-23;28170;23;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28170-23.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28170-23?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178?view=html#nl.proc.ob.d.h-tk-20032004-178-178.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-178.html;no;aye;aye;aye;;;no;;aye;aye;aye;no;Bussemaker;nl.m.02251;;;amendement-Bussemaker (stuk nr. 23)
commons;2003-2004;4;2003-09-23;28100;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/28100;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178-1.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178-1?view=html#nl.proc.ob.d.h-tk-20032004-178-178-1.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-178-1.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;aye;;;;;Goedkeuring van het op 4 november 2000 te Rome totstandgekomen Protocol nr. 12 bij het Verdrag tot bescherming van de rechten van de mens en de fundamentele vrijheden (Trb. 2001, 18 en 173) ( 28100, R1705)
commons;2003-2004;7;2003-09-30;19637;769;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-19637-769.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266.1.8.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266?view=html#nl.proc.ob.d.h-tk-20032004-264-266.1.8.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-264-266.html;no;aye;no;aye;;;no;;aye;aye;aye;no;Van der Staaij;nl.m.02252;Huizinga-Heringa;nl.m.02320;de motie-Van der Staaij/Huizinga-Heringa over consistentie en gelijke behandeling ( 19637, nr. 769)
commons;2003-2004;7;2003-09-30;19637;770;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-19637-770.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266.1.8.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266?view=html#nl.proc.ob.d.h-tk-20032004-264-266.1.8.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-264-266.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;aye;Visser;nl.m.02345;;;de motie-Visser over het aansporen van staten om eigen onderdanen terug te nemen ( 19637, nr. 770)
commons;2003-2004;7;2003-09-30;19637;771;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-19637-771.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266.1.8.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266?view=html#nl.proc.ob.d.h-tk-20032004-264-266.1.8.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-264-266.html;no;aye;no;aye;;;no;;aye;no;aye;no;Vos;nl.m.02547;;;de motie-Vos over artikel 3.6 onder b van het Vreemdelingenbesluit ( 19637, nr. 771)
commons;2003-2004;7;2003-09-30;19637;772;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-19637-772.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266.1.8.30.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266?view=html#nl.proc.ob.d.h-tk-20032004-264-266.1.8.30.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-264-266.html;no;aye;no;aye;;;no;;aye;aye;aye;no;Vos;nl.m.02547;;;de motie-Vos over toelating van asielzoekers die voor 1 september 1998 asiel hebben aangevraagd dan wel op 14 januari 2003 nog in procedure waren ( 19637, nr. 772)
commons;2003-2004;7;2003-09-30;19637;773;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-19637-773.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266.1.8.33.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266?view=html#nl.proc.ob.d.h-tk-20032004-264-266.1.8.33.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-264-266.html;no;aye;aye;aye;;;no;;aye;aye;aye;no;Vos;nl.m.02547;;;de motie-Vos over een ruimhartiger gebruik van de inherente afwijkingsbevoegdheid ( 19637, nr. 773)
commons;2003-2004;7;2003-09-30;19637;774;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-19637-774.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266.1.8.36.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266?view=html#nl.proc.ob.d.h-tk-20032004-264-266.1.8.36.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-264-266.html;no;aye;no;aye;;;no;;no;no;aye;no;Vos;nl.m.02547;;;de motie-Vos over toepassing van de contra-indicatie ( 19637, nr. 774)
commons;2003-2004;7;2003-09-30;19637;775;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-19637-775.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266.1.8.39.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266?view=html#nl.proc.ob.d.h-tk-20032004-264-266.1.8.39.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-264-266.html;no;aye;aye;aye;;;aye;;aye;aye;aye;no;Lambrechts;nl.m.02526;;;de motie-Lambrechts over schrijnende omstandigheden in de levenssituatie van asielzoekers ( 19637, nr. 775)
commons;2003-2004;7;2003-09-30;19637;776;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-19637-776.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266.1.8.42.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-264-266?view=html#nl.proc.ob.d.h-tk-20032004-264-266.1.8.42.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-264-266.html;no;aye;aye;aye;;;aye;;aye;aye;aye;no;Lambrechts;nl.m.02526;;;de motie-Lambrechts c.s. over een nieuwe beoordeling van Stari Mostdossiers ( 19637, nr. 776)
